player_link,player_name,regular_fgp,hot_fgp,num_hot_shots
/players/b/bassbr01.html,Brandon Bass,0.504,0.4950980392156863,204
/players/j/johnsty01.html,Tyler Johnson,0.419,0.475,40
/players/m/macksh01.html,Shelvin Mack,0.401,0.3230769230769231,65
/players/c/coleno01.html,Norris Cole,0.412,0.4305555555555556,144
/players/m/muhamsh01.html,Shabazz Muhammad,0.489,0.4701492537313433,134
/players/t/thompho01.html,Hollis Thompson,0.413,0.45528455284552843,123
/players/b/barbole01.html,Leandro Barbosa,0.474,0.44036697247706424,109
/players/m/morrida01.html,Darius Morris,0.34,0.2727272727272727,22
/players/m/mekelga01.html,Gal Mekel,0.15,0.0,2
/players/j/jefferi01.html,Richard Jefferson,0.444,0.36619718309859156,71
/players/r/rosede01.html,Derrick Rose,0.405,0.4375,272
/players/w/walkebi01.html,Henry Walker,0.345,0.46875,32
/players/k/kiddgmi01.html,Michael Kidd-Gilchrist,0.465,0.43795620437956206,137
/players/n/nurkiju01.html,Jusuf Nurkic,0.446,0.5,100
/players/b/breweco01.html,Corey Brewer,0.426,0.3805309734513274,226
/players/g/gallida01.html,Danilo Gallinari,0.401,0.40268456375838924,149
/players/m/monrogr01.html,Greg Monroe,0.496,0.48,300
/players/c/chrispa01.html,Patrick Christopher,0.25,0.5,2
/players/f/fournev01.html,Evan Fournier,0.44,0.3333333333333333,171
/players/k/koufoko01.html,Kosta Koufos,0.508,0.5119047619047619,84
/players/l/leuerjo01.html,Jon Leuer,0.443,0.4857142857142857,70
/players/b/bullore01.html,Reggie Bullock,0.343,0.4,5
/players/r/rubiori01.html,Ricky Rubio,0.356,0.32653061224489793,49
/players/i/iguodan01.html,Andre Iguodala,0.466,0.5,120
/players/f/farieke01.html,Kenneth Faried,0.507,0.5431034482758621,232
/players/p/parsoch01.html,Chandler Parsons,0.462,0.4634146341463415,287
/players/i/inglejo01.html,Joe Ingles,0.415,0.3466666666666667,75
/players/k/karasse01.html,Sergey Karasev,0.403,0.2972972972972973,37
/players/b/bazemke01.html,Kent Bazemore,0.426,0.35384615384615387,65
/players/m/morroan01.html,Anthony Morrow,0.463,0.44571428571428573,175
/players/b/beverpa01.html,Patrick Beverley,0.383,0.32,125
/players/m/matthwe02.html,Wesley Matthews,0.448,0.4,215
/players/y/youngni01.html,Nick Young,0.366,0.3,130
/players/b/bayleje01.html,Jerryd Bayless,0.426,0.42948717948717946,156
/players/b/brownja01.html,Jabari Brown,0.412,0.3783783783783784,37
/players/c/curryst01.html,Stephen Curry,0.487,0.45740740740740743,540
/players/p/priceaj01.html,A.J. Price,0.372,0.2894736842105263,38
/players/l/lopezro01.html,Robin Lopez,0.535,0.6016260162601627,123
/players/d/davisan02.html,Anthony Davis,0.535,0.5215686274509804,510
/players/z/zelleco01.html,Cody Zeller,0.461,0.4945054945054945,91
/players/t/thomptr01.html,Tristan Thompson,0.547,0.5572519083969466,131
/players/t/tollian01.html,Anthony Tolliver,0.41,0.3333333333333333,75
/players/s/sacrero01.html,Robert Sacre,0.412,0.40298507462686567,67
/players/c/clarkia01.html,Ian Clark,0.345,0.2222222222222222,9
/players/d/drewla02.html,Larry Drew,0.345,0.18181818181818182,11
/players/a/anthojo01.html,Joel Anthony,0.581,0.5,10
/players/d/dienggo01.html,Gorgui Dieng,0.506,0.47019867549668876,151
/players/l/lenal01.html,Alex Len,0.507,0.5595238095238095,84
/players/h/haywobr01.html,Brendan Haywood,0.467,0.5,6
/players/g/gayru01.html,Rudy Gay,0.455,0.4625,400
/players/a/afflaar01.html,Arron Afflalo,0.424,0.41198501872659177,267
/players/s/simshe01.html,Henry Sims,0.474,0.5158730158730159,126
/players/c/cunnija01.html,Jared Cunningham,0.364,0.0,4
/players/b/beaslmi01.html,Michael Beasley,0.434,0.46774193548387094,62
/players/d/diawbo01.html,Boris Diaw,0.46,0.47878787878787876,165
/players/d/davisgl01.html,Glen Davis,0.459,0.36363636363636365,55
/players/z/zellety01.html,Tyler Zeller,0.549,0.5596330275229358,218
/players/n/noelne01.html,Nerlens Noel,0.462,0.519774011299435,177
/players/d/drumman01.html,Andre Drummond,0.514,0.5492063492063493,315
/players/f/fraziti01.html,Tim Frazier,0.344,0.375,8
/players/n/nichoan01.html,Andrew Nicholson,0.437,0.4074074074074074,54
/players/w/walljo01.html,John Wall,0.445,0.4254278728606357,409
/players/m/milescj01.html,C.J. Miles,0.398,0.42857142857142855,238
/players/g/gordoaa01.html,Aaron Gordon,0.447,0.46938775510204084,49
/players/s/shumpim01.html,Iman Shumpert,0.41,0.415929203539823,113
/players/h/humphkr01.html,Kris Humphries,0.473,0.5238095238095238,126
/players/r/ridnolu01.html,Luke Ridnour,0.426,0.4722222222222222,36
/players/h/hairspj02.html,P.J. Hairston,0.323,0.3125,48
/players/j/johnswe01.html,Wesley Johnson,0.414,0.40718562874251496,167
/players/l/lauvejo01.html,Joffrey Lauvergne,0.404,0.30434782608695654,23
/players/m/mcgeeja01.html,JaVale McGee,0.532,0.6470588235294118,17
/players/j/jennibr01.html,Brandon Jennings,0.401,0.4010989010989011,182
/players/n/nelsoja01.html,Jameer Nelson,0.407,0.3722627737226277,137
/players/l/livinsh01.html,Shaun Livingston,0.5,0.49504950495049505,101
/players/p/pressph01.html,Phil Pressey,0.368,0.3076923076923077,26
/players/w/webstma02.html,Martell Webster,0.264,0.07142857142857142,14
/players/a/aldrila01.html,LaMarcus Aldridge,0.466,0.4632768361581921,531
/players/a/anderch01.html,Chris Andersen,0.58,0.5777777777777777,45
/players/a/adrieje01.html,Jeff Adrien,0.432,0.42857142857142855,7
/players/d/dellama01.html,Matthew Dellavedova,0.362,0.39285714285714285,56
/players/o/oquinky01.html,Kyle O'Quinn,0.492,0.5087719298245614,57
/players/a/asikom01.html,Omer Asik,0.517,0.48,100
/players/h/harrito02.html,Tobias Harris,0.466,0.44983818770226536,309
/players/k/kellyry01.html,Ryan Kelly,0.337,0.3389830508474576,59
/players/w/willilo02.html,Lou Williams,0.404,0.3772893772893773,273
/players/m/millspa01.html,Paul Millsap,0.476,0.4483870967741935,310
/players/n/napiesh01.html,Shabazz Napier,0.382,0.2727272727272727,44
/players/c/chandty01.html,Tyson Chandler,0.666,0.6884057971014492,138
/players/p/paytoel01.html,Elfrid Payton,0.425,0.44387755102040816,196
/players/j/jamesbe01.html,Bernard James,0.444,0.75,4
/players/w/whittsh01.html,Shayne Whittington,0.452,0.36363636363636365,11
/players/k/knighbr03.html,Brandon Knight,0.422,0.4107142857142857,280
/players/e/evansre01.html,Reggie Evans,0.423,0.42857142857142855,28
/players/h/haywago01.html,Gordon Hayward,0.445,0.4423076923076923,364
/players/c/cottobr01.html,Bryce Cotton,0.42,0.38095238095238093,21
/players/j/jerebjo01.html,Jonas Jerebko,0.446,0.35398230088495575,113
/players/p/papanko01.html,Kostas Papanikolaou,0.35,0.3333333333333333,39
/players/p/pendeje02.html,Jeff Ayres,0.579,0.5454545454545454,22
/players/d/douglch01.html,Chris Douglas-Roberts,0.238,0.5,2
/players/w/woltena01.html,Nate Wolters,0.351,0.45454545454545453,11
/players/b/burketr01.html,Trey Burke,0.368,0.3674911660777385,283
/players/t/thompja02.html,Jason Thompson,0.47,0.49473684210526314,95
/players/h/hayesch01.html,Chuck Hayes,0.478,0.4,5
/players/b/barroea01.html,Earl Barron,0.308,0.2,5
/players/h/harrijo01.html,Joe Harris,0.4,0.3333333333333333,21
/players/i/ibakase01.html,Serge Ibaka,0.476,0.48221343873517786,253
/players/d/duncati01.html,Tim Duncan,0.512,0.4927536231884058,276
/players/m/martike01.html,Kenyon Martin,0.409,1.0,1
/players/g/gutiejo01.html,Jorge Gutierrez,0.537,0.7,10
/players/h/hardeja01.html,James Harden,0.44,0.4480769230769231,520
/players/b/bryanko01.html,Kobe Bryant,0.373,0.3391304347826087,230
/players/m/millspa02.html,Patrick Mills,0.381,0.40789473684210525,76
/players/b/butleji01.html,Jimmy Butler,0.462,0.4513888888888889,288
/players/s/singlky01.html,Kyle Singler,0.386,0.3627450980392157,102
/players/m/mbahalu01.html,Luc Mbah a Moute,0.395,0.4049079754601227,163
/players/b/brandel01.html,Elton Brand,0.442,0.3333333333333333,27
/players/j/jeffeal01.html,Al Jefferson,0.481,0.4609164420485175,371
/players/r/radulmi01.html,Miroslav Raduljica,0.375,0.0,2
/players/g/greenda02.html,Danny Green,0.436,0.39572192513368987,187
/players/m/meeksjo01.html,Jodie Meeks,0.416,0.40789473684210525,152
/players/s/speigma01.html,Marreese Speights,0.492,0.47767857142857145,224
/players/p/princta01.html,Tayshaun Prince,0.44,0.4392523364485981,107
/players/c/casspom01.html,Omri Casspi,0.489,0.5042735042735043,117
/players/m/millsel01.html,Elijah Millsap,0.34,0.3111111111111111,45
/players/t/tuckepj01.html,P.J. Tucker,0.438,0.44285714285714284,140
/players/m/mccalra01.html,Ray McCallum,0.438,0.43846153846153846,130
/players/w/willide01.html,Deron Williams,0.387,0.40707964601769914,226
/players/h/hawessp01.html,Spencer Hawes,0.393,0.3522727272727273,88
/players/w/willima02.html,Marvin Williams,0.424,0.38095238095238093,105
/players/s/smithjr01.html,J.R. Smith,0.417,0.37777777777777777,225
/players/w/wroteto01.html,Tony Wroten,0.403,0.4015748031496063,127
/players/r/roberan03.html,Andre Roberson,0.458,0.4375,32
/players/b/bennean01.html,Anthony Bennett,0.421,0.39473684210526316,76
/players/p/pricero01.html,Ronnie Price,0.345,0.41025641025641024,39
